"","comparison","method","rho","p.value"
"18","GULD_phenotypes$avespeed_mob.ACTT1 and GULD_phenotypes$frozenevents.ACTT1","Spearmans rank correlation rho",-0.425236214677135,0.0044747962455556
"19","GULD_phenotypes$avespeed_mob.ACTT1 and GULD_phenotypes$timefrozen_tot.ACTT1","Spearmans rank correlation rho",-0.476158115641202,0.00124860039236509
"20","GULD_phenotypes$avespeed_mob.ACTT1 and GULD_phenotypes$centrescore.ACTT1","Spearmans rank correlation rho",0.217305949864089,0.161162894025508
"21","GULD_phenotypes$avespeed_mob.ACTT1 and GULD_phenotypes$centretime50.ACTT1","Spearmans rank correlation rho",0.241165810933253,0.119137642650598
"22","GULD_phenotypes$avespeed_mob.ACTT1 and GULD_phenotypes$centretime75.ACTT1","Spearmans rank correlation rho",0.30943481730061,0.0434700224721356
"23","GULD_phenotypes$avespeed_mob.ACTT1 and GULD_phenotypes$centretime100.ACTT1","Spearmans rank correlation rho",0.288130474176986,0.0613126209953921
"24","GULD_phenotypes$avespeed_mob.ACTT1 and GULD_phenotypes$emergelat.bin.EXPLT1","Spearmans rank correlation rho",0.0150286757708826,0.923797788585886
"25","GULD_phenotypes$avespeed_mob.ACTT1 and GULD_phenotypes$endpointlat.bin.EXPLT1","Spearmans rank correlation rho",0.0562354158301583,0.720210373129073
"26","GULD_phenotypes$avespeed_mob.ACTT1 and GULD_phenotypes$endpointspeed.EXPLT1","Spearmans rank correlation rho",0.0196494227132002,0.925724081240453
"27","GULD_phenotypes$avespeed_mob.ACTT1 and GULD_phenotypes$refugereturnlat.EXPLT1","Spearmans rank correlation rho",-0.216112181276089,0.234841974167578
"28","GULD_phenotypes$aveacceler.ACTT1 and GULD_phenotypes$propmoving.ACTT1","Spearmans rank correlation rho",0.945627559494221,1.30913056022116e-21
"29","GULD_phenotypes$aveacceler.ACTT1 and GULD_phenotypes$dist.ACTT1","Spearmans rank correlation rho",0.941407429779523,0
"30","GULD_phenotypes$aveacceler.ACTT1 and GULD_phenotypes$frozenevents.ACTT1","Spearmans rank correlation rho",-0.803173589555428,9.12372360449609e-11
"31","GULD_phenotypes$aveacceler.ACTT1 and GULD_phenotypes$timefrozen_tot.ACTT1","Spearmans rank correlation rho",-0.885642013694206,3.04988885947074e-15
"32","GULD_phenotypes$aveacceler.ACTT1 and GULD_phenotypes$centrescore.ACTT1","Spearmans rank correlation rho",0.186348535185744,0.230686730701486
"33","GULD_phenotypes$aveacceler.ACTT1 and GULD_phenotypes$centretime50.ACTT1","Spearmans rank correlation rho",0.177740863787375,0.253238792489189
"34","GULD_phenotypes$aveacceler.ACTT1 and GULD_phenotypes$centretime75.ACTT1","Spearmans rank correlation rho",0.248046211525745,0.108759215778
"35","GULD_phenotypes$aveacceler.ACTT1 and GULD_phenotypes$centretime100.ACTT1","Spearmans rank correlation rho",0.344004832376925,0.0244162523913741
"36","GULD_phenotypes$aveacceler.ACTT1 and GULD_phenotypes$emergelat.bin.EXPLT1","Spearmans rank correlation rho",0.270516163875886,0.0793451105169314
"37","GULD_phenotypes$aveacceler.ACTT1 and GULD_phenotypes$endpointlat.bin.EXPLT1","Spearmans rank correlation rho",0.236188746486665,0.127304024543066
"38","GULD_phenotypes$aveacceler.ACTT1 and GULD_phenotypes$endpointspeed.EXPLT1","Spearmans rank correlation rho",0.19495309593881,0.350373741181992
"39","GULD_phenotypes$aveacceler.ACTT1 and GULD_phenotypes$refugereturnlat.EXPLT1","Spearmans rank correlation rho",0.0650719460161252,0.723464352585899
"40","GULD_phenotypes$propmoving.ACTT1 and GULD_phenotypes$dist.ACTT1","Spearmans rank correlation rho",0.898051664071656,3.26824345574264e-16
"41","GULD_phenotypes$propmoving.ACTT1 and GULD_phenotypes$frozenevents.ACTT1","Spearmans rank correlation rho",-0.831179742981403,5.21171616824358e-12
"42","GULD_phenotypes$propmoving.ACTT1 and GULD_phenotypes$timefrozen_tot.ACTT1","Spearmans rank correlation rho",-0.948608547414865,4.23949113647636e-22
"43","GULD_phenotypes$propmoving.ACTT1 and GULD_phenotypes$centrescore.ACTT1","Spearmans rank correlation rho",0.158284248897931,0.310695846594991
"44","GULD_phenotypes$propmoving.ACTT1 and GULD_phenotypes$centretime50.ACTT1","Spearmans rank correlation rho",0.150430450288491,0.335615327893734
"45","GULD_phenotypes$propmoving.ACTT1 and GULD_phenotypes$centretime75.ACTT1","Spearmans rank correlation rho",0.262734586136161,0.0887278629187083
"46","GULD_phenotypes$propmoving.ACTT1 and GULD_phenotypes$centretime100.ACTT1","Spearmans rank correlation rho",0.371847157239222,0.014078016970908
"47","GULD_phenotypes$propmoving.ACTT1 and GULD_phenotypes$emergelat.bin.EXPLT1","Spearmans rank correlation rho",0.364500435459841,0.0162577225285594
"48","GULD_phenotypes$propmoving.ACTT1 and GULD_phenotypes$endpointlat.bin.EXPLT1","Spearmans rank correlation rho",0.326214677793874,0.0327704806053322
"49","GULD_phenotypes$propmoving.ACTT1 and GULD_phenotypes$endpointspeed.EXPLT1","Spearmans rank correlation rho",0.245857710190094,0.236158001317787
"50","GULD_phenotypes$propmoving.ACTT1 and GULD_phenotypes$refugereturnlat.EXPLT1","Spearmans rank correlation rho",0.0872833992858994,0.634777340689151
"51","GULD_phenotypes$dist.ACTT1 and GULD_phenotypes$frozenevents.ACTT1","Spearmans rank correlation rho",-0.756403650521109,4.45074392780917e-09
"52","GULD_phenotypes$dist.ACTT1 and GULD_phenotypes$timefrozen_tot.ACTT1","Spearmans rank correlation rho",-0.864650583921251,7.84901660699694e-14
"53","GULD_phenotypes$dist.ACTT1 and GULD_phenotypes$centrescore.ACTT1","Spearmans rank correlation rho",0.219118091211115,0.157632999690615
"54","GULD_phenotypes$dist.ACTT1 and GULD_phenotypes$centretime50.ACTT1","Spearmans rank correlation rho",0.221685291452733,0.152730233578951
"55","GULD_phenotypes$dist.ACTT1 and GULD_phenotypes$centretime75.ACTT1","Spearmans rank correlation rho",0.334805754004613,0.0281964322617963
"56","GULD_phenotypes$dist.ACTT1 and GULD_phenotypes$centretime100.ACTT1","Spearmans rank correlation rho",0.423437028088191,0.00499532346088089
"57","GULD_phenotypes$dist.ACTT1 and GULD_phenotypes$emergelat.bin.EXPLT1","Spearmans rank correlation rho",0.199129953964194,0.200485199359408
"58","GULD_phenotypes$dist.ACTT1 and GULD_phenotypes$endpointlat.bin.EXPLT1","Spearmans rank correlation rho",0.183702358378517,0.238323351195479
"59","GULD_phenotypes$dist.ACTT1 and GULD_phenotypes$endpointspeed.EXPLT1","Spearmans rank correlation rho",0.211134973467328,0.311008655310092
"60","GULD_phenotypes$dist.ACTT1 and GULD_phenotypes$refugereturnlat.EXPLT1","Spearmans rank correlation rho",-0.0306113098160364,0.867910648790923
"61","GULD_phenotypes$frozenevents.ACTT1 and GULD_phenotypes$timefrozen_tot.ACTT1","Spearmans rank correlation rho",0.856738247652726,2.32552844487202e-13
"62","GULD_phenotypes$frozenevents.ACTT1 and GULD_phenotypes$centrescore.ACTT1","Spearmans rank correlation rho",0.0445787787241489,0.776525480774885
"63","GULD_phenotypes$frozenevents.ACTT1 and GULD_phenotypes$centretime50.ACTT1","Spearmans rank correlation rho",0.0311295878548294,0.842917417873035
"64","GULD_phenotypes$frozenevents.ACTT1 and GULD_phenotypes$centretime75.ACTT1","Spearmans rank correlation rho",-0.0310174229978784,0.843476351013802
"65","GULD_phenotypes$frozenevents.ACTT1 and GULD_phenotypes$centretime100.ACTT1","Spearmans rank correlation rho",-0.119531572782379,0.445184700487941
"66","GULD_phenotypes$frozenevents.ACTT1 and GULD_phenotypes$emergelat.bin.EXPLT1","Spearmans rank correlation rho",-0.266940456800218,0.0835551722367663
"67","GULD_phenotypes$frozenevents.ACTT1 and GULD_phenotypes$endpointlat.bin.EXPLT1","Spearmans rank correlation rho",-0.195082055215748,0.209976826987935
"68","GULD_phenotypes$frozenevents.ACTT1 and GULD_phenotypes$endpointspeed.EXPLT1","Spearmans rank correlation rho",-0.341882091668421,0.0943797558324477
"69","GULD_phenotypes$frozenevents.ACTT1 and GULD_phenotypes$refugereturnlat.EXPLT1","Spearmans rank correlation rho",0.0652174088634062,0.722870366319573
"70","GULD_phenotypes$timefrozen_tot.ACTT1 and GULD_phenotypes$centrescore.ACTT1","Spearmans rank correlation rho",-0.170800770310878,0.27348022061869
"71","GULD_phenotypes$timefrozen_tot.ACTT1 and GULD_phenotypes$centretime50.ACTT1","Spearmans rank correlation rho",-0.165288632276973,0.289491102190226
"72","GULD_phenotypes$timefrozen_tot.ACTT1 and GULD_phenotypes$centretime75.ACTT1","Spearmans rank correlation rho",-0.279241863626067,0.0697676314213682
"73","GULD_phenotypes$timefrozen_tot.ACTT1 and GULD_phenotypes$centretime100.ACTT1","Spearmans rank correlation rho",-0.390455695525001,0.00963674969367198
"74","GULD_phenotypes$timefrozen_tot.ACTT1 and GULD_phenotypes$emergelat.bin.EXPLT1","Spearmans rank correlation rho",-0.400153599661657,0.00784270699679994
"75","GULD_phenotypes$timefrozen_tot.ACTT1 and GULD_phenotypes$endpointlat.bin.EXPLT1","Spearmans rank correlation rho",-0.354296495718515,0.0197536156704016
"76","GULD_phenotypes$timefrozen_tot.ACTT1 and GULD_phenotypes$endpointspeed.EXPLT1","Spearmans rank correlation rho",-0.292044361109917,0.156610000637725
"77","GULD_phenotypes$timefrozen_tot.ACTT1 and GULD_phenotypes$refugereturnlat.EXPLT1","Spearmans rank correlation rho",0.0262120796628335,0.886761862111222
"78","GULD_phenotypes$centrescore.ACTT1 and GULD_phenotypes$centretime50.ACTT1","Spearmans rank correlation rho",0.961491996375717,0
"79","GULD_phenotypes$centrescore.ACTT1 and GULD_phenotypes$centretime75.ACTT1","Spearmans rank correlation rho",0.868728055891537,4.36525636362008e-14
"80","GULD_phenotypes$centrescore.ACTT1 and GULD_phenotypes$centretime100.ACTT1","Spearmans rank correlation rho",0.681365146481426,1.17024271662127e-06
"81","GULD_phenotypes$centrescore.ACTT1 and GULD_phenotypes$emergelat.bin.EXPLT1","Spearmans rank correlation rho",0.338145204844858,0.0265677263604424
"82","GULD_phenotypes$centrescore.ACTT1 and GULD_phenotypes$endpointlat.bin.EXPLT1","Spearmans rank correlation rho",0.374902772201056,0.0132474781999594
"83","GULD_phenotypes$centrescore.ACTT1 and GULD_phenotypes$endpointspeed.EXPLT1","Spearmans rank correlation rho",-0.225005154206057,0.279532317209082
"84","GULD_phenotypes$centrescore.ACTT1 and GULD_phenotypes$refugereturnlat.EXPLT1","Spearmans rank correlation rho",-0.0219961507660142,0.904884984014334
"85","GULD_phenotypes$centretime50.ACTT1 and GULD_phenotypes$centretime75.ACTT1","Spearmans rank correlation rho",0.868350512190584,4.61272084515439e-14
"86","GULD_phenotypes$centretime50.ACTT1 and GULD_phenotypes$centretime100.ACTT1","Spearmans rank correlation rho",0.670039263062519,1.87831891946048e-06
"87","GULD_phenotypes$centretime50.ACTT1 and GULD_phenotypes$emergelat.bin.EXPLT1","Spearmans rank correlation rho",0.375716894272064,0.0130333626782594
"88","GULD_phenotypes$centretime50.ACTT1 and GULD_phenotypes$endpointlat.bin.EXPLT1","Spearmans rank correlation rho",0.40489499397714,0.00707586794432913
"89","GULD_phenotypes$centretime50.ACTT1 and GULD_phenotypes$endpointspeed.EXPLT1","Spearmans rank correlation rho",-0.255057212473305,0.218520250590179
"90","GULD_phenotypes$centretime50.ACTT1 and GULD_phenotypes$refugereturnlat.EXPLT1","Spearmans rank correlation rho",0.0199798369457962,0.913569776943151
"91","GULD_phenotypes$centretime75.ACTT1 and GULD_phenotypes$centretime100.ACTT1","Spearmans rank correlation rho",0.898402990786398,3.05539876396883e-16
"92","GULD_phenotypes$centretime75.ACTT1 and GULD_phenotypes$emergelat.bin.EXPLT1","Spearmans rank correlation rho",0.27052637723605,0.0793333277594049
"93","GULD_phenotypes$centretime75.ACTT1 and GULD_phenotypes$endpointlat.bin.EXPLT1","Spearmans rank correlation rho",0.277438525747832,0.0716680803810653
"94","GULD_phenotypes$centretime75.ACTT1 and GULD_phenotypes$endpointspeed.EXPLT1","Spearmans rank correlation rho",0.00346754518468239,0.986875319990034
"95","GULD_phenotypes$centretime75.ACTT1 and GULD_phenotypes$refugereturnlat.EXPLT1","Spearmans rank correlation rho",-0.131976904596085,0.471506623941368
"96","GULD_phenotypes$centretime100.ACTT1 and GULD_phenotypes$emergelat.bin.EXPLT1","Spearmans rank correlation rho",0.146529588766105,0.348440093083174
"97","GULD_phenotypes$centretime100.ACTT1 and GULD_phenotypes$endpointlat.bin.EXPLT1","Spearmans rank correlation rho",0.153710136602433,0.325062408418771
"98","GULD_phenotypes$centretime100.ACTT1 and GULD_phenotypes$endpointspeed.EXPLT1","Spearmans rank correlation rho",0.188018005569445,0.368106882866862
"99","GULD_phenotypes$centretime100.ACTT1 and GULD_phenotypes$refugereturnlat.EXPLT1","Spearmans rank correlation rho",-0.215378976250555,0.236472408048688
"100","GULD_phenotypes$emergelat.bin.EXPLT1 and GULD_phenotypes$endpointlat.bin.EXPLT1","Spearmans rank correlation rho",0.954449100207092,3.77879095766431e-23
"101","GULD_phenotypes$emergelat.bin.EXPLT1 and GULD_phenotypes$endpointspeed.EXPLT1","Spearmans rank correlation rho",-0.472313340838067,0.0171256645928057
"102","GULD_phenotypes$emergelat.bin.EXPLT1 and GULD_phenotypes$refugereturnlat.EXPLT1","Spearmans rank correlation rho",0.0804053282074964,0.661781815719001
"103","GULD_phenotypes$endpointlat.bin.EXPLT1 and GULD_phenotypes$endpointspeed.EXPLT1","Spearmans rank correlation rho",-0.636591657684683,0.0006232027520671
"104","GULD_phenotypes$endpointlat.bin.EXPLT1 and GULD_phenotypes$refugereturnlat.EXPLT1","Spearmans rank correlation rho",0.0142533390252421,0.938285496048045
"105","GULD_phenotypes$endpointspeed.EXPLT1 and GULD_phenotypes$refugereturnlat.EXPLT1","Spearmans rank correlation rho",0.336801941545678,0.0997019858018883
